document_id,length,extracted_mentions,candidate_entities,duplicate_removal_candidate_entities,linked_mentions,total_running_time,cut_words_time1,cut_words_time2,get_obj_property,calculate_sim,append_mentions_time,get_entity_time,access_db_time,access_db_times
1,1637,48,48,21,36,2.1218,0.0226,1.2173,0.0067,0.0010,0.0015,0.0007,0.8679,297
2,1294,17,18,17,7,1.9180,0.0170,1.2414,0.0037,0.0006,0.0006,0.0002,0.6520,243
3,553,18,18,8,15,0.5685,0.0088,0.4160,0.0021,0.0004,0.0007,0.0003,0.1386,46
4,1159,38,38,16,27,1.6706,0.0162,1.2646,0.0047,0.0008,0.0012,0.0005,0.3795,140
5,498,11,11,8,10,0.6886,0.0085,0.4435,0.0024,0.0004,0.0004,0.0002,0.2318,72
6,1478,19,19,7,14,0.4508,0.0195,0.3574,0.0023,0.0003,0.0006,0.0003,0.0691,20
7,2,0,0,0,0,0.0019,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8,7254,201,225,155,122,15.0433,0.0737,9.3869,0.0487,0.0081,0.0067,0.0024,5.4889,1901
9,1341,40,40,27,33,2.9633,0.0180,2.0363,0.0088,0.0014,0.0013,0.0008,0.8915,334
10,347,5,5,5,2,0.7662,0.0053,0.6471,0.0017,0.0002,0.0002,0.0001,0.1108,38
