document_id,length,extracted_mentions,candidate_entities,duplicate_removal_candidate_entities,linked_mentions,total_running_time,cut_words_time1,cut_words_time2,get_obj_property,calculate_sim,append_mentions_time,get_entity_time,access_db_time,access_db_times
1,17,2,2,2,1,0.2421,0.0022,0.1354,0.0006,0.0001,0.0001,0.0000,0.1031,35
2,56,4,4,4,4,0.5025,0.0030,0.2882,0.0015,0.0002,0.0002,0.0001,0.2086,67
3,123,4,4,4,3,0.3938,0.0036,0.2716,0.0013,0.0002,0.0002,0.0001,0.1162,39
4,65,1,1,1,1,0.0697,0.0029,0.0659,0.0004,0.0001,0.0001,0.0000,0.0001,0
5,113,2,2,2,1,0.1068,0.0036,0.0776,0.0007,0.0001,0.0001,0.0001,0.0243,10
6,55,3,3,3,3,0.3759,0.0029,0.2183,0.0014,0.0001,0.0001,0.0001,0.1523,51
7,129,2,2,2,2,0.1219,0.0044,0.1160,0.0006,0.0001,0.0001,0.0001,0.0002,0
8,41,1,1,1,1,0.0695,0.0027,0.0659,0.0004,0.0000,0.0001,0.0000,0.0001,0
9,37,1,1,1,1,0.0690,0.0025,0.0656,0.0004,0.0000,0.0001,0.0000,0.0001,0
10,37,3,3,3,2,0.2269,0.0026,0.1828,0.0012,0.0002,0.0001,0.0001,0.0394,14
11,49,1,1,1,1,0.0689,0.0029,0.0652,0.0004,0.0000,0.0001,0.0000,0.0001,0
12,18,1,1,1,1,0.0728,0.0022,0.0697,0.0004,0.0001,0.0001,0.0000,0.0001,0
13,71,5,5,3,4,0.2182,0.0031,0.1766,0.0013,0.0001,0.0002,0.0001,0.0361,14
14,21,2,2,2,2,0.1184,0.0024,0.1146,0.0006,0.0001,0.0001,0.0001,0.0002,0
15,37,1,1,1,1,0.0708,0.0028,0.0671,0.0005,0.0000,0.0001,0.0000,0.0001,0
16,124,2,3,3,0,0.3671,0.0040,0.2968,0.0011,0.0002,0.0001,0.0000,0.0642,24
17,140,3,3,3,2,0.3550,0.0042,0.3028,0.0013,0.0001,0.0001,0.0001,0.0460,15
18,77,3,3,3,0,0.2858,0.0036,0.1983,0.0011,0.0001,0.0001,0.0000,0.0819,25
19,76,1,1,1,1,0.0716,0.0035,0.0673,0.0004,0.0000,0.0001,0.0000,0.0001,0
20,113,5,5,5,3,0.3262,0.0036,0.2057,0.0015,0.0002,0.0002,0.0001,0.1142,39
